Order_Id,Order_Date,Sales,Profit,Discount,Region,Category,Sub_Category,Customer_Segment,Quantity
21,2024-02-06 04:06:29.189189188,3045.4,-400.0,0.04,North,Furniture,Laptops,Home Office,8.0
22,2023-05-08 03:31:53.513513514,3626.3,-46.52,0.02,South,Technology,Bookcases,Home Office,8.0
23,2023-09-29 02:25:35.135135136,200.0,886.67,0.04,South,Technology,Bookcases,Consumer,7.0
24,2024-01-21 02:16:56.216216216,197.0,669.68,0.06,West,Technology,Chairs,Home Office,3.0
25,2023-06-03 10:52:58.378378378,4400.47,337.16,0.0,North,OfficeSup,Phones,Home Office,9.0
26,2023-06-21 17:19:16.756756756,3410.34,1199.07,0.28,South,Technology,Phones,Consumer,8.0
27,2023-03-15 19:17:28.648648648,4125.02,-253.53,0.0,West,Furniture,Storage,Consumer,4.0
28,2024-12-21 12:00:43.243243240,396.96,368.1,0.09,South,Furniture,Tables,Consumer,7.0
29,2024-10-21 02:51:31.891891888,4453.47,16.21,0.0,West,Furniture,Paper,Corporate,7.0
30,2024-11-23 00:02:52.972972968,439.71,675.39,0.0,South,Technology,Bookcases,Consumer,6.0
31,2023-09-10 19:59:16.756756756,2073.55,-134.66,0.09,North,Furniture,Storage,Consumer,4.0
32,2023-04-12 13:43:03.783783783,2200.0,540.15,0.17,East,Furniture,Storage,Corporate,8.0
33,2024-03-29 18:48:38.918918920,4100.0,766.82,0.09,West,Technology,Tables,Consumer,6.0
34,2023-12-31 15:13:52.432432432,2555.33,135.11,0.26,South,OfficeSup,Bookcases,Corporate,2.0
35,2023-09-28 08:53:20.000000000,4874.42,-411.92,0.04,South,OfficeSup,Storage,Home Office,6.0
36,2023-05-25 16:25:56.756756756,3471.42,803.03,0.12,East,OfficeSup,Tables,Home Office,8.0
37,2024-05-17 00:17:17.837837840,2103.01,1159.45,0.18,East,Technology,Storage,Corporate,9.0
38,2024-03-02 17:55:18.918918920,1928.97,-313.46,0.06,West,OfficeSup,Bookcases,Corporate,2.0
39,2024-10-20 09:19:16.756756752,2134.68,-100.0,0.12,South,Furniture,Accessories,Corporate,3.0
40,2023-02-13 02:42:52.972972973,3530.17,1053.61,0.22,East,Furniture,Storage,Home Office,3.0
41,2023-08-28 16:18:44.324324324,2345.35,-63.48,0.15,South,OfficeSup,Storage,Home Office,7.0
42,2023-03-12 03:36:12.972972973,3822.1,619.16,0.04,West,OfficeSup,Chairs,Consumer,3.0
43,2023-08-16 23:42:42.162162160,962.87,1226.93,0.23,South,Furniture,Tables,Consumer,8.0
44,2024-12-12 17:33:41.621621616,3256.86,804.55,0.12,South,OfficeSup,Bookcases,Consumer,7.0
45,2023-08-07 11:43:25.405405404,4975.41,-334.53,0.06,South,OfficeSup,Chairs,Consumer,8.0
46,2023-07-22 09:53:52.432432432,4659.97,-153.31,0.23,West,OfficeSup,Laptops,Consumer,3.0
47,2024-11-06 04:41:04.864864864,2382.55,1356.1,0.11,East,Technology,Bookcases,Home Office,1.0
48,2024-03-15 04:03:36.216216216,1900.0,2.16,0.01,South,OfficeSup,Paper,Corporate,5.0
49,2023-11-17 18:58:44.324324324,1400.0,738.69,0.29,North,Furniture,Binders,Consumer,7.0
50,2024-09-03 14:55:08.108108104,338.42,1491.28,0.21,East,Furniture,Chairs,Consumer,2.0
51,2024-02-21 12:23:47.027027024,2793.07,-300.91,0.0,West,OfficeSup,Storage,Home Office,2.0
52,2024-10-04 07:29:43.783783784,2700.0,66.73,0.17,East,Furniture,Laptops,Consumer,7.0
53,2023-07-10 17:17:50.270270270,4251.25,424.78,0.13,West,Furniture,Phones,Corporate,2.0
54,2024-02-27 08:41:48.108108104,3509.41,1061.84,0.1,West,Technology,Bookcases,Corporate,3.0
55,2023-01-17 19:21:48.108108108,115.52,700.0,0.17,South,Furniture,Chairs,Consumer,9.0
56,2023-01-22 22:07:34.054054054,4860.51,838.62,0.0,East,OfficeSup,Paper,Corporate,2.0
57,2024-03-26 20:39:38.378378376,4461.28,1054.91,0.0,South,OfficeSup,Tables,Consumer,8.0
58,2023-01-08 07:22:31.351351351,3068.2,900.0,0.0,North,OfficeSup,Accessories,Home Office,5.0
59,2023-06-11 11:47:44.864864864,1974.64,699.26,0.19,North,Technology,Accessories,Home Office,7.0
60,2024-08-22 04:46:50.810810808,2287.3,504.98,0.25,North,Furniture,Accessories,Home Office,4.0
61,2023-08-05 07:06:40.000000000,4498.61,321.71,0.17,West,Technology,Phones,Corporate,1.0
62,2023-02-09 11:01:37.297297297,127.76,207.39,0.13,North,Furniture,Laptops,Consumer,9.0
63,2024-02-01 01:20:43.243243240,2000.0,-288.82,0.07,North,OfficeSup,Phones,Home Office,4.0
64,2023-06-02 17:20:43.243243242,3651.8,65.6,0.08,East,Technology,Binders,Home Office,5.0
65,2024-03-17 08:40:21.621621624,1989.51,-300.0,0.0,North,Furniture,Storage,Consumer,7.0
66,2024-05-20 15:58:33.513513512,4718.4,1282.64,0.23,East,Technology,Laptops,Home Office,8.0
67,2024-04-28 17:50:59.459459456,4584.76,136.52,0.23,East,OfficeSup,Storage,Consumer,7.0
68,2024-09-24 19:30:27.027027024,3038.88,432.23,0.05,East,Technology,Phones,Consumer,7.0
69,2023-02-21 03:37:39.459459459,3500.0,107.25,0.12,West,Furniture,Binders,Corporate,9.0
70,2024-02-01 18:52:58.378378376,4900.0,-409.41,0.0,West,Furniture,Laptops,Consumer,8.0
71,2023-03-20 04:30:59.459459459,1585.65,1135.71,0.24,South,Technology,Phones,Consumer,7.0
72,2023-12-27 06:00:21.621621620,709.48,526.37,0.06,West,Furniture,Tables,Corporate,1.0
73,2024-03-07 03:08:49.729729728,1300.0,1031.66,0.26,East,Technology,Paper,Consumer,6.0
74,2024-06-25 11:18:55.135135136,3688.83,-228.62,0.06,West,Technology,Tables,Home Office,9.0
75,2023-08-02 08:57:39.459459460,2347.13,-288.29,0.08,East,Furniture,Bookcases,Corporate,6.0
76,2023-07-31 04:20:54.054054052,3828.19,-64.18,0.0,South,OfficeSup,Phones,Corporate,6.0
77,2024-04-21 10:28:28.108108104,2616.69,-415.06,0.29,North,Technology,Paper,Consumer,5.0
78,2023-01-29 11:57:50.270270270,3257.9,1384.77,0.26,North,OfficeSup,Laptops,Home Office,2.0
79,2024-03-06 09:36:34.594594592,2676.21,1387.86,0.01,East,Technology,Paper,Consumer,4.0
80,2023-08-13 08:01:26.486486484,4769.8,-47.45,0.06,West,Technology,Phones,Home Office,6.0
81,2024-05-11 03:59:16.756756752,2992.14,268.09,0.0,West,Technology,Paper,Home Office,8.0
82,2023-02-18 05:28:38.918918919,1600.07,734.44,0.1,South,Furniture,Storage,Home Office,9.0
83,2023-07-20 22:49:22.162162162,3481.0,1226.27,0.16,South,Technology,Tables,Home Office,5.0
84,2023-02-18 23:00:54.054054054,2790.74,-188.04,0.06,East,Technology,Phones,Corporate,6.0
85,2023-08-21 08:56:12.972972972,1839.7,-7.51,0.09,North,OfficeSup,Laptops,Corporate,5.0
86,2024-02-05 10:34:14.054054052,3947.82,1479.51,0.16,West,OfficeSup,Accessories,Consumer,6.0
87,2024-12-30 06:27:44.864864864,4185.58,-100.0,0.16,South,Furniture,Binders,Corporate,5.0
88,2024-06-05 17:48:06.486486488,1700.0,115.06,0.1,South,Furniture,Accessories,Corporate,3.0
89,2024-07-04 05:45:56.756756752,3772.01,1450.36,0.0,West,Furniture,Phones,Consumer,6.0
90,2023-08-27 22:46:29.189189188,1237.0,500.0,0.07,North,Furniture,Storage,Home Office,3.0
91,2023-10-07 03:20:21.621621620,2194.76,1000.06,0.2,South,Furniture,Bookcases,Home Office,2.0
92,2023-11-26 13:25:45.945945944,200.0,493.79,0.11,West,OfficeSup,Tables,Home Office,4.0
93,2024-01-17 10:35:40.540540540,4911.34,193.12,0.08,West,Furniture,Paper,Consumer,2.0
94,2023-06-09 07:10:59.459459458,4299.93,-115.38,0.02,South,OfficeSup,Tables,Corporate,1.0
95,2024-07-29 02:02:31.351351352,4419.66,-229.29,0.14,South,OfficeSup,Binders,Consumer,5.0
96,2023-11-15 14:21:58.918918916,4490.6,381.15,0.06,South,OfficeSup,Paper,Corporate,7.0
97,2024-07-12 06:40:43.243243240,2778.76,135.97,0.3,East,Furniture,Phones,Home Office,9.0
98,2023-03-06 07:18:11.891891892,207.93,-247.29,0.07,South,Furniture,Accessories,Consumer,7.0
99,2023-02-16 00:51:53.513513513,1473.64,-302.83,0.11,East,Technology,Laptops,Home Office,7.0
100,2024-08-26 14:00:21.621621616,1910.46,113.94,0.0,North,OfficeSup,Laptops,Home Office,3.0
101,2024-06-07 04:52:36.756756752,500.0,1093.02,0.07,North,Technology,Phones,Consumer,2.0
102,2023-09-14 11:40:32.432432432,4951.42,51.51,0.0,East,Furniture,Chairs,Home Office,6.0
103,2024-11-14 23:08:06.486486488,184.03,1477.08,0.14,West,OfficeSup,Paper,Corporate,1.0
104,2023-07-07 01:36:34.594594594,3900.0,-145.61,0.14,North,Technology,Paper,Consumer,5.0
105,2024-04-09 00:20:10.810810808,1800.0,1200.0,0.2,West,Technology,Phones,Corporate,9.0
106,2024-04-15 14:10:27.027027024,1923.78,662.39,0.0,South,OfficeSup,Bookcases,Consumer,8.0
107,2024-02-09 19:47:44.864864864,156.26,203.61,0.23,East,Technology,Bookcases,Corporate,9.0
108,2024-12-01 18:29:54.594594592,2399.5,479.74,0.2,North,Technology,Chairs,Consumer,3.0
109,2023-05-03 18:18:22.702702702,3876.83,916.24,0.17,North,Furniture,Laptops,Corporate,2.0
110,2024-11-01 01:55:18.918918920,4800.0,1013.52,0.11,South,Technology,Laptops,Corporate,1.0
111,2024-01-21 19:49:11.351351352,2014.34,200.0,0.0,West,Furniture,Paper,Corporate,1.0
112,2024-08-24 09:23:36.216216216,3081.2,1082.82,0.0,North,OfficeSup,Phones,Consumer,2.0
113,2024-12-20 18:28:28.108108104,4748.85,643.58,0.14,West,OfficeSup,Binders,Corporate,8.0
114,2024-08-19 06:37:50.270270272,4947.17,700.0,0.0,East,Technology,Laptops,Home Office,6.0
115,2023-03-04 20:13:41.621621621,846.41,-101.51,0.25,West,OfficeSup,Storage,Corporate,4.0
116,2023-11-12 16:12:58.378378376,3239.11,-32.21,0.0,East,Furniture,Bookcases,Home Office,7.0
117,2023-05-15 10:54:24.864864864,700.0,1092.01,0.26,East,OfficeSup,Accessories,Corporate,8.0
118,2024-12-15 15:42:42.162162160,3764.19,637.1,0.22,South,Furniture,Tables,Corporate,1.0
119,2024-01-26 05:02:42.162162160,3066.97,100.0,0.28,North,Furniture,Storage,Home Office,7.0
120,2023-08-03 20:02:09.729729728,4333.41,500.0,0.22,West,Technology,Binders,Consumer,2.0
121,2024-10-13 19:29:00.540540536,2361.46,1267.13,0.18,East,Technology,Storage,Consumer,1.0
122,2023-11-07 13:27:12.432432432,149.44,-100.0,0.25,East,Technology,Laptops,Home Office,7.0
123,2024-06-05 00:15:51.351351352,1235.74,1000.0,0.15,South,Technology,Paper,Consumer,4.0
124,2023-07-09 23:45:35.135135134,4490.77,1068.41,0.07,East,OfficeSup,Accessories,Consumer,5.0
125,2023-06-23 04:23:47.027027026,4165.84,1483.39,0.09,West,Furniture,Paper,Consumer,1.0
126,2024-02-13 11:29:00.540540540,4900.0,1000.0,0.21,West,Technology,Paper,Home Office,3.0
127,2024-03-02 00:23:03.783783784,3548.58,75.66,0.21,West,OfficeSup,Laptops,Home Office,3.0
128,2023-11-22 04:12:15.135135136,3836.17,361.97,0.0,North,OfficeSup,Tables,Corporate,7.0
129,2024-09-25 13:02:42.162162160,4321.42,390.77,0.24,West,OfficeSup,Binders,Corporate,8.0
130,2024-08-07 14:01:48.108108104,2500.0,-70.17,0.02,East,Technology,Laptops,Consumer,6.0
131,2024-03-13 16:59:05.945945944,3884.27,822.28,0.24,West,OfficeSup,Accessories,Home Office,5.0
132,2024-09-12 09:22:09.729729728,3346.17,720.75,0.28,West,OfficeSup,Bookcases,Home Office,6.0
133,2023-07-13 15:26:50.810810810,2683.6,1212.26,0.17,West,Furniture,Paper,Home Office,2.0
134,2024-12-28 01:50:59.459459456,4800.0,199.71,0.18,East,Technology,Accessories,Consumer,5.0
135,2024-01-22 13:21:26.486486484,1000.0,1105.7,0.0,West,OfficeSup,Chairs,Consumer,1.0
136,2023-02-10 04:33:52.432432432,4691.75,100.0,0.1,South,Technology,Storage,Home Office,6.0
137,2023-03-29 16:30:16.216216216,603.47,1208.52,0.21,South,Technology,Paper,Home Office,9.0
138,2023-06-07 02:34:14.054054054,1409.54,800.0,0.25,East,OfficeSup,Tables,Consumer,4.0
139,2023-01-19 06:26:18.378378378,1600.0,1100.0,0.0,West,OfficeSup,Chairs,Corporate,9.0
140,2023-02-22 14:42:09.729729730,600.0,-493.72,0.17,East,Furniture,Phones,Corporate,9.0
141,2023-02-02 03:39:05.945945946,3987.63,-167.96,0.14,South,Furniture,Binders,Home Office,1.0
142,2023-06-30 11:46:18.378378378,392.61,182.85,0.08,East,OfficeSup,Storage,Consumer,6.0
143,2024-06-10 20:33:52.432432432,4433.45,64.52,0.09,North,Technology,Paper,Home Office,5.0
144,2023-07-25 08:02:52.972972972,2136.65,1399.8,0.0,South,OfficeSup,Bookcases,Corporate,9.0
145,2024-10-14 13:01:15.675675672,4918.2,41.24,0.05,East,Furniture,Chairs,Corporate,2.0
146,2024-10-29 21:18:33.513513512,3765.22,1373.86,0.03,South,Furniture,Laptops,Consumer,3.0
147,2024-08-14 21:24:19.459459456,3741.1,-203.28,0.0,North,OfficeSup,Storage,Corporate,9.0
148,2023-06-28 07:09:32.972972972,4693.15,-20.02,0.2,North,Furniture,Chairs,Home Office,7.0
149,2024-08-23 15:51:21.081081080,3673.25,130.02,0.0,West,Furniture,Bookcases,Consumer,7.0
150,2023-08-23 13:32:58.378378376,4769.19,-400.0,0.29,East,OfficeSup,Laptops,Consumer,2.0
151,2024-04-14 20:38:11.891891888,3014.54,728.97,0.0,East,Technology,Accessories,Consumer,6.0
152,2023-04-26 10:55:51.351351350,2400.0,679.9,0.28,East,Furniture,Binders,Corporate,2.0
153,2024-12-14 22:10:27.027027024,2817.97,737.22,0.01,South,OfficeSup,Paper,Consumer,5.0
154,2023-11-10 11:36:12.972972972,1036.48,925.69,0.18,South,Furniture,Storage,Corporate,9.0
155,2024-11-18 14:49:22.162162160,2607.02,-270.49,0.26,East,Furniture,Phones,Home Office,7.0
156,2023-12-04 14:20:32.432432432,3925.59,-395.22,0.02,West,Furniture,Binders,Corporate,8.0
157,2023-08-14 19:05:56.756756756,1173.68,1067.0,0.0,West,Furniture,Binders,Home Office,7.0
158,2024-05-24 07:39:49.189189184,4048.64,478.07,0.15,West,Technology,Chairs,Consumer,9.0
159,2023-02-13 20:15:08.108108108,611.58,-347.04,0.02,North,Furniture,Laptops,Corporate,1.0
160,2024-10-07 23:10:59.459459456,4100.0,-475.32,0.2,South,Furniture,Paper,Consumer,4.0
161,2024-03-10 18:50:05.405405408,3100.06,-463.23,0.2,South,OfficeSup,Chairs,Home Office,3.0
162,2024-07-14 11:17:28.648648648,4731.06,1131.54,0.02,South,Technology,Laptops,Home Office,8.0
163,2024-04-19 05:51:42.702702704,1488.19,151.65,0.26,East,Technology,Binders,Consumer,8.0
164,2024-04-19 23:23:57.837837840,3955.17,-244.45,0.18,North,Technology,Accessories,Corporate,5.0
165,2024-09-24 01:58:11.891891888,1008.33,1400.0,0.11,East,Technology,Laptops,Home Office,2.0
166,2024-05-03 03:04:30.270270272,3225.98,-472.73,0.26,East,Furniture,Accessories,Consumer,1.0
167,2023-08-06 18:11:10.270270268,771.3,1385.32,0.2,East,Technology,Paper,Home Office,1.0
168,2024-05-18 11:21:48.108108104,648.22,309.45,0.13,West,Technology,Binders,Consumer,8.0
169,2023-08-18 10:47:12.432432432,163.84,1246.22,0.25,North,Technology,Phones,Corporate,8.0
170,2023-08-15 12:38:11.891891892,2348.92,899.41,0.17,South,Furniture,Phones,Home Office,2.0
171,2023-09-21 19:03:03.783783784,1450.18,808.32,0.2,East,Furniture,Phones,Corporate,6.0
172,2023-12-17 00:28:49.729729728,3359.22,962.31,0.24,South,Furniture,Paper,Home Office,8.0
173,2023-03-22 09:07:44.864864865,687.77,525.79,0.1,South,Technology,Tables,Home Office,8.0
174,2024-12-23 16:37:28.648648648,940.03,208.75,0.2,South,OfficeSup,Storage,Consumer,9.0
175,2023-12-22 03:14:35.675675676,1628.72,632.43,0.19,North,Technology,Phones,Home Office,9.0
176,2023-09-23 06:07:34.054054052,5000.0,200.0,0.06,West,Technology,Storage,Consumer,3.0
177,2023-07-05 14:32:04.324324324,3258.5,795.03,0.27,East,Furniture,Storage,Consumer,8.0
178,2023-07-09 06:13:20.000000000,3136.7,1383.07,0.25,North,OfficeSup,Phones,Corporate,3.0
179,2024-08-09 01:06:18.378378376,2107.72,200.0,0.01,East,OfficeSup,Accessories,Home Office,5.0
180,2024-05-09 16:54:46.486486488,3034.34,606.22,0.0,South,Technology,Chairs,Corporate,2.0
181,2023-12-27 23:32:36.756756756,4007.98,-111.1,0.22,East,Furniture,Bookcases,Corporate,5.0
182,2024-05-04 14:09:00.540540536,2547.22,608.71,0.03,East,Furniture,Bookcases,Home Office,6.0
183,2023-10-03 11:39:05.945945944,3429.79,139.3,0.25,East,Furniture,Laptops,Corporate,7.0
184,2024-01-20 08:44:41.081081080,1015.88,1154.71,0.15,North,OfficeSup,Binders,Home Office,1.0
185,2024-09-09 11:13:09.189189184,171.68,-474.19,0.06,East,OfficeSup,Tables,Home Office,3.0
186,2023-04-11 02:38:33.513513513,4500.0,-449.53,0.05,East,Furniture,Chairs,Corporate,6.0
187,2023-09-17 09:49:32.972972972,2459.59,-346.86,0.2,North,OfficeSup,Binders,Corporate,7.0
188,2023-09-24 17:12:04.324324324,2911.82,1189.72,0.03,North,OfficeSup,Bookcases,Corporate,2.0
189,2024-11-19 08:21:37.297297296,126.2,480.82,0.26,South,Technology,Phones,Corporate,5.0
190,2024-07-01 07:36:56.216216216,917.96,1383.15,0.1,West,OfficeSup,Laptops,Consumer,8.0
191,2024-11-23 17:35:08.108108104,3227.78,-275.27,0.13,West,OfficeSup,Bookcases,Consumer,6.0
192,2024-08-28 18:37:07.027027024,4653.51,146.2,0.03,South,OfficeSup,Phones,Home Office,2.0
193,2024-04-24 08:37:28.648648648,3876.64,-245.26,0.08,North,Technology,Chairs,Corporate,6.0
194,2023-05-26 09:58:11.891891892,1285.26,-100.0,0.28,North,OfficeSup,Chairs,Home Office,7.0
195,2023-06-05 15:29:43.783783784,3835.31,87.55,0.21,North,OfficeSup,Accessories,Consumer,5.0
196,2023-10-26 03:18:55.135135136,3900.0,-413.9,0.28,South,Furniture,Tables,Home Office,2.0
197,2023-08-31 14:27:44.864864864,4290.51,877.53,0.23,South,Technology,Binders,Consumer,8.0
198,2023-06-01 23:48:28.108108108,1406.71,-324.9,0.3,West,Technology,Accessories,Consumer,4.0
199,2024-03-23 22:30:37.837837840,3400.0,745.46,0.0,West,Technology,Accessories,Consumer,5.0
200,2023-02-26 23:55:40.540540540,2443.47,930.37,0.03,North,OfficeSup,Bookcases,Corporate,4.0
